Open,High,Low,Close,Volume,Dividends,Stock Splits
142.51957617960753,144.72660272403846,142.39261824833602,143.3594207763672,77338200,0.0,0.0
144.09186284341388,145.23443967973952,143.47662343109712,145.07818603515625,71447400,0.0,0.0
144.79501181913238,146.31844783738003,144.23836371183495,145.49813842773438,72434100,0.0,0.0
145.62503750180875,145.71293947720633,142.13871611344763,143.3301239013672,104818600,0.0,0.0
141.41604789004137,143.5254269831522,139.19924629956387,141.58206176757812,118931200,0.0,0.0
141.29889173837356,143.1152993715257,141.1914692207776,142.22662353515625,56699500,0.0,0.0
140.99614324026174,142.90043773904355,140.73246710930246,142.4414520263672,70440600,0.0,0.0
142.92974528711127,143.50591381637727,141.8457598823253,142.10943603515625,62880000,0.0,0.0
142.39266574077612,144.5703973198966,141.77742620853948,143.90634155273438,64786600,0.0,0.0
143.818442994135,144.3262450458141,142.851640220645,143.5059356689453,56368300,0.0,0.0
143.53520021202812,144.37504483971543,142.7441867059485,143.6133270263672,46397700,0.0,0.0
143.13408767147246,143.87738193750994,142.42990787270435,142.92869567871094,54126800,0.22,0.0
142.9873899692901,143.47640294108896,142.3223394909196,142.8798065185547,48908700,0.0,0.0
143.2221579263746,144.46425536863836,142.10720866457348,142.40061950683594,69023100,0.0,0.0
142.84068876296502,143.49596433929045,142.33211110540972,142.6548614501953,48493500,0.0,0.0
142.97766394373784,145.7748196952717,142.63534877709864,145.6183319091797,72282600,0.0,0.0
145.69653653501413,146.15620995558572,145.01192130974562,145.8236846923828,59375000,0.0,0.0
145.27597699148956,147.8677548726636,143.25147091055382,147.79928588867188,103296000,0.0,0.0
146.92885446726953,148.34698930481986,145.8139053280962,146.88973999023438,92229700,0.0,0.0
146.50830231259667,147.4080844695857,142.938498348175,143.14389038085938,86326000,0.0,0.0
141.8431384679369,144.74787747327346,141.32478577627037,143.4764404296875,86960300,0.0,0.0
144.2001353891238,145.23684041442456,143.55463473897757,144.93365478515625,60549600,0.0,0.0
145.05104264712142,146.88973641640624,144.6402734925246,146.4202880859375,60131800,0.0,0.0
146.16599748585364,147.54501786684636,145.87258667150505,146.33226013183594,48606400,0.0,0.0
146.51806444524348,147.01686722827083,144.55223766808206,145.0999298095703,58991300,0.0,0.0
145.09017201862116,145.84324134015625,144.26861878609316,144.29795837402344,48597200,0.0,0.0
144.23927174159581,145.48136895257556,143.60356080464544,145.3346710205078,55802400,0.0,0.0
